matchId,teamId,win,gold_avg,gold_per_sec_avg,cs_avg,jungle_cs_avg,level_avg,xp_avg,total_damage_done_avg,total_damage_taken_avg,damage_to_champions_avg,wards_placed_avg,wards_killed_avg,vision_score_avg,kills_avg,deaths_avg,assists_avg,towers,dragons,herald,first_blood,first_tower,first_dragon,first_herald
EUN1_3808794407,100,1,4703.0,10.0,68.6,12.8,9.2,5972.8,40674.6,8592.2,4738.6,0.0,0.0,0.0,1.6,1.4,1.8,1,0,0,0,1,0,0
EUN1_3808794407,200,0,5042.6,10.0,75.0,16.4,9.4,5984.8,53722.8,8277.4,6189.4,0.0,0.0,0.0,1.4,2.0,1.2,0,1,0,1,0,1,0
EUN1_3863268649,100,0,5173.8,10.0,59.4,18.8,9.2,5817.0,44766.8,7616.4,6269.6,0.0,0.0,0.0,3.2,1.4,3.4,1,2,0,1,1,1,0
EUN1_3863268649,200,1,4824.0,10.0,59.2,14.4,8.4,5244.8,43913.0,9008.6,4804.6,0.0,0.0,0.0,1.4,3.2,0.8,0,0,0,0,0,0,0
EUN1_3883750885,100,0,4983.6,10.0,66.6,14.4,9.2,5690.0,42940.8,8347.2,6653.0,0.0,0.0,0.0,1.8,3.0,2.0,1,0,0,1,1,0,0
EUN1_3883750885,200,1,5520.8,10.0,66.4,18.8,9.8,6298.2,51103.0,9759.2,5940.8,0.0,0.0,0.0,3.0,1.8,2.4,0,2,0,0,0,1,0
EUN1_3805952354,100,0,4696.6,10.0,73.8,17.4,9.6,6197.0,46999.4,9652.4,5816.4,0.0,0.0,0.0,1.0,1.8,0.8,0,1,0,0,0,1,0
EUN1_3805952354,200,1,4846.8,10.0,62.8,17.4,9.2,5808.8,51435.6,8321.0,6238.8,0.0,0.0,0.0,1.8,1.0,1.4,0,1,0,1,0,1,0
EUN1_3872289511,100,0,4770.2,10.0,60.0,16.8,9.2,5542.4,39307.0,9306.8,5583.0,0.0,0.0,0.0,1.6,2.6,2.6,1,0,0,0,1,0,0
EUN1_3872289511,200,1,5524.0,10.0,74.8,18.4,9.4,6217.6,55553.6,8728.0,6917.4,0.0,0.0,0.0,2.6,1.6,3.0,0,2,0,1,0,1,0
EUN1_3790587299,100,0,4890.2,10.0,72.2,20.0,9.2,5933.0,50015.6,9824.0,6142.0,0.0,0.0,0.0,1.2,2.6,1.4,0,0,0,1,0,0,0
EUN1_3790587299,200,1,5439.4,10.0,70.8,19.6,9.8,6435.6,57990.2,9055.2,6453.6,0.0,0.0,0.0,2.6,1.2,2.6,0,1,0,0,0,1,0
EUN1_3848203994,100,1,5869.6,10.0,59.0,19.4,9.2,6089.2,50244.4,9444.6,8253.6,0.0,0.0,0.0,4.0,3.4,5.0,0,1,0,0,0,1,0
EUN1_3848203994,200,0,5646.2,10.0,62.0,14.4,9.0,5694.0,43162.6,11017.6,5993.4,0.0,0.0,0.0,3.4,4.0,4.2,1,0,0,1,1,0,0
EUN1_3872398508,100,1,5257.8,10.0,65.0,19.0,9.4,6192.6,51561.6,10536.4,7879.8,0.0,0.0,0.0,2.6,3.6,1.8,1,1,0,0,1,1,0
EUN1_3872398508,200,0,5706.4,10.0,65.2,16.4,9.4,6250.2,55865.8,11336.8,7230.6,0.0,0.0,0.0,3.6,2.6,3.6,1,1,0,1,1,1,0
EUN1_3883483922,100,1,5030.8,10.0,61.2,14.8,8.6,5333.0,46582.2,8404.2,6162.0,0.0,0.0,0.0,2.6,1.8,2.2,1,1,0,0,1,1,0
EUN1_3883483922,200,0,5028.8,10.0,73.0,14.4,9.2,5731.0,46624.0,9313.2,5916.2,0.0,0.0,0.0,1.8,2.6,1.2,0,0,0,1,0,0,0
EUN1_3813335927,100,1,5558.6,10.0,61.8,10.8,9.2,5949.2,37513.6,8519.6,7972.0,0.0,0.0,0.0,4.4,2.8,5.2,1,1,0,1,1,1,0
EUN1_3813335927,200,0,5598.8,10.0,65.6,17.4,9.2,5972.4,47188.4,11283.0,6309.4,0.0,0.0,0.0,2.8,4.6,2.0,1,0,0,0,1,0,0
EUN1_3883213059,100,0,5395.2,10.0,67.4,17.2,9.0,5689.4,51080.4,9306.0,7688.4,0.0,0.0,0.0,2.8,3.6,3.8,0,1,0,1,0,1,0
EUN1_3883213059,200,1,5698.6,10.0,62.0,19.2,9.6,6254.8,48870.8,10999.0,6598.0,0.0,0.0,0.0,3.6,2.8,4.4,0,1,0,0,0,1,0
EUN1_3883692415,100,1,5478.0,10.0,69.6,13.6,8.8,5785.2,52528.2,8742.8,6677.0,0.0,0.0,0.0,2.8,1.6,2.2,0,1,0,0,0,1,0
EUN1_3883692415,200,0,4623.2,10.0,61.4,15.6,8.8,5344.0,43145.8,8826.2,4693.8,0.0,0.0,0.0,1.6,2.8,1.6,2,1,0,1,1,1,0
EUN1_3865433324,100,0,4421.2,10.0,68.0,16.0,9.2,5668.6,46437.0,8263.2,4223.4,0.0,0.0,0.0,0.6,2.4,0.6,2,0,0,0,1,0,0
EUN1_3865433324,200,1,5799.8,10.0,83.4,20.2,10.0,6819.6,64082.2,8654.8,6196.2,0.0,0.0,0.0,2.4,0.6,1.8,0,2,0,1,0,1,0
EUN1_3782954003,100,1,5619.8,10.0,74.6,20.8,9.6,6244.6,57146.8,10507.6,6142.2,0.0,0.0,0.0,2.8,2.4,2.2,0,1,0,1,0,1,0
EUN1_3782954003,200,0,5277.8,10.0,76.2,13.8,9.6,6256.2,51768.8,9372.0,6629.6,0.0,0.0,0.0,2.0,2.8,1.4,0,0,0,0,0,0,0
EUN1_3883436931,100,0,5339.2,10.0,61.8,13.2,9.4,5739.0,43196.4,9413.0,6331.0,0.0,0.0,0.0,2.8,3.2,2.4,1,1,0,0,1,1,0
EUN1_3883436931,200,1,5376.4,10.0,61.4,20.0,9.8,6283.6,45604.8,9290.2,6338.8,0.0,0.0,0.0,3.2,2.8,3.2,1,1,0,1,1,1,0
EUN1_3785169022,100,0,4716.6,10.0,54.2,18.2,8.6,5456.0,41718.0,11248.0,6992.8,0.0,0.0,0.0,1.8,5.0,1.6,1,0,0,0,1,0,0
EUN1_3785169022,200,1,5882.2,10.0,59.2,18.8,9.8,6446.4,55122.4,10391.8,8103.2,0.0,0.0,0.0,5.0,1.8,3.6,0,1,0,1,0,1,0
EUN1_3821253925,100,1,5372.4,10.0,69.8,18.6,9.4,6107.8,50314.0,8425.4,5252.4,0.0,0.0,0.0,1.8,2.4,2.2,1,1,0,0,1,1,0
EUN1_3821253925,200,0,5367.8,10.0,65.0,20.8,10.0,6369.2,61953.2,8549.6,6648.0,0.0,0.0,0.0,2.4,1.8,2.2,1,1,0,1,1,1,0
EUN1_3882919131,100,0,5047.0,10.0,60.0,18.4,9.2,5867.0,46411.2,8291.2,5995.6,0.0,0.0,0.0,2.2,2.4,2.0,0,0,0,1,0,0,0
EUN1_3882919131,200,1,5343.8,10.0,64.2,22.0,9.6,6342.4,50707.4,9273.4,6487.8,0.0,0.0,0.0,2.4,2.2,2.4,0,1,0,0,0,1,0
EUN1_3883433045,100,1,5687.0,10.0,70.2,20.0,9.8,6425.0,49471.4,7672.6,6913.2,0.0,0.0,0.0,3.2,1.0,3.6,0,1,0,1,0,1,0
EUN1_3883433045,200,0,4552.4,10.0,57.0,14.0,8.8,5443.0,40808.2,9045.6,4481.6,0.0,0.0,0.0,1.0,3.2,1.0,1,1,0,0,1,1,0
EUN1_3798934935,100,1,5875.8,10.0,68.8,15.2,9.8,6624.2,51690.4,9965.2,7895.6,0.0,0.0,0.0,3.6,1.8,3.4,1,1,0,0,1,1,0
EUN1_3798934935,200,0,5333.0,10.0,65.2,18.8,9.2,5866.6,57009.0,11299.6,6963.0,0.0,0.0,0.0,1.8,3.6,2.0,1,0,0,1,1,0,0
EUN1_3883175224,100,1,5120.4,10.0,58.8,11.6,9.2,5653.8,40578.4,8942.4,7133.0,0.0,0.0,0.0,3.2,1.8,3.4,0,1,0,1,0,1,0
EUN1_3883175224,200,0,4765.6,10.0,54.2,15.2,9.0,5628.0,42499.0,9690.0,5997.2,0.0,0.0,0.0,1.8,3.2,1.0,0,1,0,0,0,1,0
EUN1_3881883374,100,0,5134.6,10.0,64.2,16.4,9.4,6174.4,46593.6,9890.2,7235.8,0.0,0.0,0.0,2.6,2.4,1.8,0,2,0,0,0,1,0
EUN1_3881883374,200,1,5464.4,10.0,73.0,22.4,9.6,6323.8,52661.2,10643.4,6724.4,0.0,0.0,0.0,2.4,2.6,2.2,0,0,0,1,0,0,0
EUN1_3881812803,100,0,5003.2,10.0,65.2,11.6,8.8,5395.4,41219.4,7834.8,5460.4,0.0,0.0,0.0,1.6,2.0,2.4,3,0,0,0,1,0,0
EUN1_3881812803,200,1,5598.8,10.0,73.4,18.8,9.6,6344.4,56918.2,9179.4,5677.0,0.0,0.0,0.0,2.0,1.6,1.2,1,1,0,1,1,1,0
EUN1_3826018954,100,1,5692.4,10.0,67.2,18.0,9.4,6186.0,54829.0,7705.2,7325.0,0.0,0.0,0.0,4.0,0.6,4.0,0,1,0,1,0,1,0
EUN1_3826018954,200,0,4341.8,10.0,60.6,15.2,8.8,5482.4,39604.6,9616.2,4439.8,0.0,0.0,0.0,0.6,4.0,0.6,1,0,0,0,1,0,0
EUN1_3808127325,100,1,5356.4,10.0,65.8,21.6,10.0,6590.8,52151.0,9227.2,5118.2,0.0,0.0,0.0,2.2,1.6,2.0,1,2,0,0,1,1,0
EUN1_3808127325,200,0,4902.6,10.0,57.0,16.4,9.0,5770.0,41684.4,7689.6,5153.6,0.0,0.0,0.0,1.6,2.2,2.2,2,0,0,1,1,0,0
EUN1_3851912385,100,0,5075.0,10.0,73.6,16.8,9.2,5771.2,49469.4,9942.6,6514.4,0.0,0.0,0.0,1.8,2.2,2.0,0,1,0,0,0,1,0
EUN1_3851912385,200,1,5259.4,10.0,64.8,18.0,9.4,6072.8,52565.0,10146.4,7205.0,0.0,0.0,0.0,2.2,1.8,2.4,0,1,0,1,0,1,0
EUN1_3884140460,100,0,5194.4,10.0,63.8,17.2,9.4,5989.2,48118.8,8839.4,6763.4,0.0,0.0,0.0,2.2,1.6,2.0,0,0,0,0,0,0,0
EUN1_3884140460,200,1,4673.2,10.0,62.0,16.8,8.8,5601.4,44772.4,8988.0,5773.0,0.0,0.0,0.0,1.6,2.2,1.4,1,2,0,1,1,1,0
EUN1_3844828542,100,0,5380.0,10.0,62.0,17.4,9.4,6066.4,48095.8,8118.4,5943.6,0.0,0.0,0.0,3.2,2.4,2.6,1,1,0,1,1,1,0
EUN1_3844828542,200,1,5698.0,10.0,75.8,17.2,9.6,6328.2,51984.4,9593.4,6251.2,0.0,0.0,0.0,2.4,3.4,2.2,1,0,0,0,1,0,0
EUN1_3865498315,100,1,5987.4,10.0,78.0,14.8,9.2,6203.8,48332.4,10673.8,7011.6,0.0,0.0,0.0,3.0,2.8,3.0,0,0,0,1,0,0,0
EUN1_3865498315,200,0,5398.0,10.0,63.8,14.4,9.4,5832.0,41877.8,10283.8,7160.4,0.0,0.0,0.0,2.8,3.2,1.6,1,1,0,0,1,1,0
EUN1_3883726528,100,1,5115.6,10.0,60.4,17.6,9.0,5864.0,46331.0,8091.6,7557.4,0.0,0.0,0.0,2.8,1.8,3.0,1,1,0,0,1,1,0
EUN1_3883726528,200,0,5037.8,10.0,60.8,18.8,9.0,5601.2,50052.0,10283.8,5303.4,0.0,0.0,0.0,1.8,2.8,1.4,0,0,0,1,0,0,0
EUN1_3883219876,100,0,5252.8,10.0,64.2,16.8,8.8,5507.4,44260.6,11612.0,7967.0,0.0,0.0,0.0,3.0,4.2,3.0,2,1,0,1,1,1,0
EUN1_3883219876,200,1,6023.8,10.0,57.2,14.6,9.2,5790.8,48978.8,11830.8,8757.6,0.0,0.0,0.0,4.2,3.0,3.6,0,0,0,0,0,0,0
EUW1_7560930757,100,1,5880.4,10.0,56.6,13.6,9.2,5780.2,39257.4,9005.0,7514.8,0.0,0.0,0.0,4.2,2.2,4.4,1,1,0,0,1,1,0
EUW1_7560930757,200,0,5145.4,10.0,53.0,21.2,9.0,5355.2,48051.4,10791.4,6505.0,0.0,0.0,0.0,2.2,4.2,2.4,2,1,0,1,1,1,0
EUN1_3882090048,100,0,4710.0,10.0,61.6,18.0,8.8,5299.0,48742.0,8791.8,5028.8,0.0,0.0,0.0,1.4,3.0,1.2,1,1,0,0,1,1,0
EUN1_3882090048,200,1,5540.0,10.0,70.6,14.4,9.4,6339.4,49286.0,6846.6,6166.0,0.0,0.0,0.0,3.0,1.4,2.6,0,0,0,1,0,0,0
EUN1_3828430117,100,0,5220.6,10.0,64.6,17.6,9.2,5885.0,47659.2,9974.0,6096.2,0.0,0.0,0.0,2.2,3.0,1.6,1,1,0,0,1,1,0
EUN1_3828430117,200,1,5361.2,10.0,58.0,18.8,9.6,6190.8,47723.6,9764.8,6441.4,0.0,0.0,0.0,3.0,2.4,2.0,0,0,0,1,0,0,0
EUN1_3767937814,100,1,5161.0,10.0,76.2,18.8,9.8,6331.2,54202.4,8414.8,5135.8,0.0,0.0,0.0,2.2,0.8,2.0,0,1,0,1,0,1,0
EUN1_3767937814,200,0,4661.8,10.0,72.0,18.8,9.0,5941.4,49198.0,8239.2,4701.8,0.0,0.0,0.0,0.8,2.2,1.2,0,0,0,0,0,0,0
EUN1_3809349788,100,1,5831.0,10.0,60.4,14.0,9.2,6137.2,47055.2,9306.4,6944.4,0.0,0.0,0.0,3.8,3.2,4.8,2,1,0,1,1,1,0
EUN1_3809349788,200,0,5866.8,10.0,65.2,15.2,9.2,6016.8,48569.0,9829.6,7019.2,0.0,0.0,0.0,3.2,3.8,2.2,1,1,0,0,1,1,0
EUN1_3880147634,100,1,5579.4,10.0,65.0,16.6,9.6,6376.8,47249.6,9973.8,7307.8,0.0,0.0,0.0,3.2,3.0,3.0,0,2,0,0,0,1,0
EUN1_3880147634,200,0,5433.2,10.0,63.6,15.6,9.4,5929.0,44007.2,10018.0,6997.4,0.0,0.0,0.0,3.0,3.2,4.4,0,0,0,1,0,0,0
EUN1_3838960015,100,1,5496.2,10.0,70.4,20.8,9.8,6365.2,61028.8,8481.4,7822.4,0.0,0.0,0.0,2.2,1.2,1.4,0,2,0,0,0,1,0
EUN1_3838960015,200,0,4621.8,10.0,67.6,15.4,8.8,5548.2,46823.0,10627.8,4896.8,0.0,0.0,0.0,1.2,2.2,1.4,1,0,0,1,1,0,0
EUN1_3850493261,100,1,6207.4,10.0,74.6,22.0,10.0,6837.4,64344.4,11320.4,7819.2,0.0,0.0,0.0,3.2,2.8,3.4,1,1,0,1,1,1,0
EUN1_3850493261,200,0,5318.4,10.0,68.2,15.2,9.8,6377.2,50903.6,10607.6,7774.2,0.0,0.0,0.0,2.8,3.2,1.0,2,1,0,0,1,1,0
EUN1_3877458996,100,1,6005.0,10.0,70.0,20.4,9.6,6476.2,55740.2,7370.6,6832.6,0.0,0.0,0.0,3.6,0.6,3.6,0,2,0,1,0,1,0
EUN1_3877458996,200,0,4599.6,10.0,68.0,17.6,8.6,5380.6,45514.2,10133.6,4631.6,0.0,0.0,0.0,0.6,3.6,0.6,1,0,0,0,1,0,0
EUN1_3861723960,100,0,5779.2,10.0,72.6,20.4,9.6,6430.0,59030.0,8722.6,7056.6,0.0,0.0,0.0,3.0,2.0,3.8,0,1,0,1,0,1,0
EUN1_3861723960,200,1,5080.6,10.0,68.8,16.0,9.2,5904.4,51640.4,9342.4,5503.6,0.0,0.0,0.0,2.0,3.0,1.2,0,1,0,0,0,1,0
EUN1_3751749145,100,0,4955.2,10.0,74.8,18.4,9.4,5963.6,50136.0,7916.0,5336.0,0.0,0.0,0.0,1.0,1.0,0.6,0,0,0,1,0,0,0
EUN1_3751749145,200,1,4586.8,10.0,66.0,17.6,9.2,5898.2,45157.0,9530.8,5494.8,0.0,0.0,0.0,1.0,1.0,1.2,1,2,0,0,1,1,0
